pack,dish,restaurant_price,homemade_cost,estimated_savings,difficulty
Red Lobster-inspired,Cheddar-style biscuits,12,2.5,9.5,Easy
Red Lobster-inspired,Shrimp alfredo,24,7.25,16.75,Medium
Red Lobster-inspired,Coconut shrimp,18,7.2,10.8,Medium
Starbucks-inspired,Pink drink style beverage,7,1.8,5.2,Easy
Starbucks-inspired,Vanilla sweet cream cold brew,6.75,1.6,5.15,Easy
Starbucks-inspired,Egg bites,6.25,2.15,4.1,Medium
Cava-inspired,Harissa chicken bowl,17,5.9,11.1,Easy
Cava-inspired,Greek chicken pita,14,4.85,9.15,Easy
Sweetgreen-inspired,Harvest bowl,18,6.2,11.8,Easy
Sweetgreen-inspired,Kale caesar with chicken,19,6.25,12.75,Easy
Cheesecake Factory-inspired,Spicy vodka-style pasta,38,6.4,31.6,Easy
Cheesecake Factory-inspired,Avocado egg rolls,17,5.75,11.25,Medium
Chipotle-inspired,Chicken burrito bowl,14,4.8,9.2,Easy
Chipotle-inspired,Guacamole,4,1.4,2.6,Easy
Erewhon-inspired,Celebrity-style smoothie,19,5.5,13.5,Easy
Erewhon-inspired,Wellness bowl,24,8.9,15.1,Easy
